product_id,brand,product_name,bpom_id,marketplace,listing_url,listing_title,seller_name,listing_status,review_access,review_count,counterfeit_evidence_found
DEAR_KLAIRS_FRESHLY_JUICED_VITAMIN_SKIN_PREP_PADS_NA26251200678,Dear Klairs,Freshly Juiced Vitamin Skin Prep Pads,NA26251200678,shopee.ph,https://shopee.ph/KLAIRS-Freshly-Juiced-Vitamin-Skin-Prep-Pads-i.1300174060.54400958117,KLAIRS Freshly Juiced Vitamin Skin Prep Pads,,marketplace_listing_candidate,,0,False
DEAR_KLAIRS_FRESHLY_JUICED_VITAMIN_SKIN_PREP_PADS_NA26251200678,Dear Klairs,Freshly Juiced Vitamin Skin Prep Pads,NA26251200678,shop-id.tokopedia.com,https://shop-id.tokopedia.com/pdp/dear-klairs-freshly-juiced-vitamin-skin-prep-pads-80-pcs/1732198607846344583?source=anchor,Dear Klairs Freshly Juiced Vitamin Skin Prep Pads 80 pads,,marketplace_listing_candidate,,0,False
DEAR_KLAIRS_FRESHLY_JUICED_VITAMIN_SKIN_PREP_PADS_NA26251200678,Dear Klairs,Freshly Juiced Vitamin Skin Prep Pads,NA26251200678,tokopedia.com,https://www.tokopedia.com/find/klairs-freshly?utm_source=google&utm_medium=organic&utm_campaign=find,Jual Klairs Freshly Juli 2026 Harga Termurah,,marketplace_listing_candidate,,0,False
COSRX_AHA_BHA_CLARIFYING_TREATMENT_TONER_NA26221200804,COSRX,AHA/BHA Clarifying treatment toner,NA26221200804,shopee.ph,https://shopee.ph/-COSRX-OFFICIAL-AHA-BHA-Clarifying-Treatment-Toner-AHA-BHA-0.1-Hydrating-Mild-Exfoliating-Facial-Spray-i.153457585.2463824937,[COSRX OFFICIAL] AHA/BHA Clarifying Treatment Toner ...,,marketplace_listing_candidate,,0,False
COSRX_AHA_BHA_CLARIFYING_TREATMENT_TONER_NA26221200804,COSRX,AHA/BHA Clarifying treatment toner,NA26221200804,shopee.co.id,https://shopee.co.id/list/Cosrx/Aha%20Bha/Toner,Jual Cosrx Aha Bha Toner Terlengkap & Harga Terbaru ...,,marketplace_listing_candidate,,0,False
COSRX_AHA_BHA_CLARIFYING_TREATMENT_TONER_NA26221200804,COSRX,AHA/BHA Clarifying treatment toner,NA26221200804,shopee.ph,https://shopee.ph/-COSRX-AHA-BHA-Clarifying-Treatment-Toner-150ml-i.1291041064.41020906697,[COSRX] AHA/BHA Clarifying Treatment Toner 150ml,,marketplace_listing_candidate,,0,False
COSRX_AHA_BHA_CLARIFYING_TREATMENT_TONER_NA26221200804,COSRX,AHA/BHA Clarifying treatment toner,NA26221200804,shopee.ph,https://shopee.ph/COSRX-AHA-BHA-Clarifying-Treatment-Toner150ml-i.578246651.27891466589,COSRX AHA/BHA Clarifying Treatment Toner150ml,,marketplace_listing_candidate,,0,False
COSRX_AHA_BHA_CLARIFYING_TREATMENT_TONER_NA26221200804,COSRX,AHA/BHA Clarifying treatment toner,NA26221200804,tokopedia.com,https://www.tokopedia.com/find/cosrx-aha-bha-clarifying-treatment-toner?utm_source=google&utm_medium=organic&utm_campaign=find,Jual Cosrx Aha Bha Clarifying Treatment Toner Murah & ...,,marketplace_listing_candidate,,0,False
COSRX_AHA_BHA_CLARIFYING_TREATMENT_TONER_NA26221200804,COSRX,AHA/BHA Clarifying treatment toner,NA26221200804,tokopedia.com,https://www.tokopedia.com/find/aha-bha-cosrx?utm_source=google&utm_medium=organic&utm_campaign=find,Jual Aha Bha Cosrx Murah & Lengkap - Harga Agustus 2026,,marketplace_listing_candidate,,0,False
COSRX_AHA_BHA_CLARIFYING_TREATMENT_TONER_NA26221200804,COSRX,AHA/BHA Clarifying treatment toner,NA26221200804,tokopedia.com,https://www.tokopedia.com/find/toner-cosrx-aha-bha?utm_source=google&utm_medium=organic&utm_campaign=find,Toner Cosrx AHA BHA Pasti Awet Muda Agustus 2026,,marketplace_listing_candidate,,0,False
